customer_id,first_name,last_name,email,signup_date,country,city,acquisition_channel
1,Patricia,Green,patricia.green@icloud.com,2024-09-28,France,Lyon,social_media
2,Stephen,Clark,stephen.clark@gmail.com,2025-08-03,United States,Los Angeles,direct
3,Samuel,Martinez,samuel.martinez@hotmail.com,2025-11-08,India,Bangalore,email
4,Sharon,Walker,sharon.walker@hotmail.com,2023-10-24,United States,Miami,paid_search
5,Scott,Allen,scott.allen@yahoo.com,2025-04-29,Netherlands,Rotterdam,paid_search
6,Tyler,Allen,tyler.allen@outlook.com,2024-09-03,France,Marseille,direct
7,Justin,Nelson,justin.nelson@hotmail.com,2025-09-18,Netherlands,Rotterdam,paid_search
8,Stephen,Carter,stephen.carter@icloud.com,2024-01-22,United States,Austin,affiliate
9,Donald,Torres,donald.torres@hotmail.com,2023-03-31,United States,Seattle,paid_search
10,Jacob,Rivera,jacob.rivera@hotmail.com,2025-10-11,United States,Chicago,affiliate
11,Thomas,Allen,thomas.allen@icloud.com,2025-06-20,United States,Los Angeles,organic_search
12,Ryan,Smith,ryan.smith@yahoo.com,2023-11-13,United Kingdom,Bristol,organic_search
13,Tyler,Taylor,tyler.taylor@outlook.com,2023-06-14,Germany,Frankfurt,direct
14,Gregory,Wright,gregory.wright@hotmail.com,2023-03-15,India,Hyderabad,email
15,Donald,Green,donald.green@outlook.com,2023-07-05,Mexico,Monterrey,social_media
16,Richard,Carter,richard.carter@gmail.com,2024-09-05,United Kingdom,Bristol,direct
17,Jennifer,Lee,jennifer.lee@gmail.com,2025-06-01,United States,Austin,organic_search
18,Anna,Clark,anna.clark@icloud.com,2023-12-15,Germany,Munich,organic_search
19,Brandon,Harris,brandon.harris@icloud.com,2023-10-21,Germany,Frankfurt,paid_search
20,Katherine,Taylor,katherine.taylor@hotmail.com,2025-08-10,United States,New York,direct
21,Gregory,Wright,gregory.wright@yahoo.com,2024-09-04,United States,Austin,email
22,Jason,Hall,jason.hall@outlook.com,2024-02-12,United Kingdom,Birmingham,affiliate
23,Amy,Miller,amy.miller@yahoo.com,2024-08-28,United States,Austin,affiliate
24,Donna,Johnson,donna.johnson@hotmail.com,2023-04-11,United States,Boston,direct
25,Olivia,Young,olivia.young@outlook.com,2024-12-22,France,Lyon,organic_search
26,Matthew,Flores,matthew.flores@outlook.com,2023-07-18,Germany,Munich,direct
27,Samuel,Williams,samuel.williams@outlook.com,2025-01-17,France,Paris,referral
28,Barbara,Jackson,barbara.jackson@outlook.com,2024-02-16,Australia,Melbourne,organic_search
29,Brenda,White,brenda.white@icloud.com,2023-12-03,United Kingdom,Birmingham,paid_search
30,Amy,Jackson,amy.jackson@outlook.com,2023-06-04,France,Toulouse,organic_search
31,Mark,Baker,mark.baker@hotmail.com,2025-01-19,Mexico,Monterrey,organic_search
32,Ronald,Smith,ronald.smith@outlook.com,2025-01-24,Canada,Calgary,email
33,Gregory,Taylor,gregory.taylor@icloud.com,2023-08-10,United States,Austin,email
34,Jacob,Johnson,jacob.johnson@icloud.com,2024-11-02,Brazil,Brasilia,direct
35,Mark,Adams,mark.adams@gmail.com,2024-09-10,Germany,Frankfurt,email
36,Joseph,Rodriguez,joseph.rodriguez@gmail.com,2025-10-05,India,Bangalore,organic_search
37,Donald,Wright,donald.wright@yahoo.com,2025-05-08,United States,Austin,social_media
38,Maria,Martinez,maria.martinez@hotmail.com,2025-04-15,Germany,Frankfurt,direct
39,Emily,Williams,emily.williams@outlook.com,2024-04-28,United States,Denver,direct
40,Richard,Baker,richard.baker@outlook.com,2023-05-05,Canada,Montreal,paid_search
41,Matthew,Davis,matthew.davis@hotmail.com,2023-02-13,United States,Houston,organic_search
42,Kevin,Thomas,kevin.thomas@yahoo.com,2023-05-21,France,Lyon,direct
43,Stephen,Wilson,stephen.wilson@icloud.com,2024-11-03,United States,Houston,referral
